Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,片山,おぉ！　これってデートに誘っても,ＯＫってことか！？, ,Katayama,"Oh, hey! Does this mean I get to ask her on a date",now?,,카타야마,오오! 이건 데이트를 하자고 해도,OK란 건가!?,,片山,喔！　這意思是約她去約會,也行囉！？,,1,155,7,1,0,0,0,0,0,,Translated
1,大川,あれ……？　なにその台詞。,俺んときそんなのなかった。, ,Ohkawa,Huh...? How'd you get THAT line? That was never even,an option when I played...,,오오카와,어라......? 뭐야 그 대사는.,내가 할 땐 그런 거 없었는데.,,大川,咦……？　那是什麼台詞。,我玩的時候可沒有那個選項。,,1,20,14,1,0,0,0,0,0,,Translated
2,片山,来いよ。『恋のソムリエ・片山様』と呼んでも,構わんぞ？, ,Katayama,"But of course! I am Katayama, the sommelier of love!","...Feel free to call me that, too, if you'd like.",,카타야마,덤벼. 『사랑의 소믈리에 카타야마 님』,이라고 불러도 좋아.,,片山,放馬過來。叫我『戀愛侍酒師・片山大人』,也沒關係喔？,,1,156,7,1,0,0,0,0,0,,Translated
3,大川,まだまだだよ。とにかく一遍クリアしてくるんだ。,話はそれからだ。, ,Ohkawa,Don't think you're the cock of the walk just yet.,Try clearing the game once...then we'll talk.,,오오카와,아직 멀었어. 어쨌든 한 편 클리어하고 와.,얘긴 그 다음부터야.,,大川,還早得很呢。總之你先破關一次再說。,之後再談。,,1,21,14,1,0,0,0,0,0,,Translated
4,片山,ちっ、見てろ？　ド肝抜いてやる。, , ,Katayama,"Oh, don't worry, I'll clear the shit out of it!",,,카타야마,"쳇, 두고 봐.  놀라 자빠질 테니까.",,,片山,嘖，你看著吧？　我會讓你大吃一驚的。,,,1,157,7,1,0,0,0,0,0,,Translated
5,袋井,盛り上がるのは結構だが、ここが生徒会室で,あることは忘れてないだろうな。, ,Fukuroi,I appreciate that you're getting into your little,"game over there, but I hope you haven't forgotten",that this is the student council room.,후쿠로이,너 혼자 불타오르는 건 상관없는데,여기가 학생회실이란 걸 잊은 건 아니겠지.,,袋井,你們要嗨是無所謂，但可別忘了,這裡是學生會辦公室。,,1,55,5,1,0,0,0,0,0,,Translated
6,片山,もちろん、忘れてない。, , ,Katayama,Of course we haven't forgotten.,,,카타야마,물론 알고 있지.,,,片山,當然，沒忘。,,,1,158,7,1,0,0,0,0,0,,Translated
7,大川,大丈夫大丈夫、いつものことだし。, , ,Ohkawa,"Yeah, don't worry. We do this all the time.",,,오오카와,괜찮아 괜찮아. 일상이니까.,,,大川,沒事沒事，反正一直都這樣。,,,1,22,14,1,0,0,0,0,0,,Translated
8,片山,俺たち適当に遊んでるから、気にしなくて,いいぞ～, ,Katayama,We're just messing around. It's totally harmless.,,,카타야마,우린 그냥 놀고 있을 테니까,신경 쓰지 마라~,,片山,我們會適當地玩玩，你不用在意～,,,1,159,7,1,0,0,0,0,0,,Translated
9,大川,そうそう。さっさと生徒会の仕事終わらせて,一緒に帰ろうよ、雅人。, ,Ohkawa,"Yep. Just let us know when you're done in here,","Masato, and we can all head on home.",,오오카와,그래 그래. 얼른 학생회 일 끝내고,"같이 가자, 마사토.",,大川,對對。你快點把學生會的工作做完，,一起回家吧，雅人。,,1,23,14,1,0,0,0,0,0,,Translated
10,袋井,っ……あのなぁ……, , ,Fukuroi,*sigh* You know...,,,후쿠로이,윽...... 너희들......,,,袋井,……你們啊……,,,1,56,5,1,0,0,0,0,0,,Translated
11,大川,あっ！　ちょっと……良介！,それ二股って言わない！？, ,Ohkawa,"Ah! Ryosuke, what the hell? Are you seriously",planning on two-timing her?!,,오오카와,앗! 잠깐...... 료스케!,그건 양다리 아냐!?,,大川,啊！　等等……良介！,那不就是劈腿嗎！？,,1,24,14,1,0,0,0,0,0,,Translated
12,片山,ふふん、俺は手広く行くのさ！　ウルァ！, , ,Katayama,"Heheh. There's plenty of me to go around! Aaaaaand,",boom goes the dynamite!,,카타야마,"흐흥, 난 크게 갈 거야! 으랴!",,,片山,呵呵，我可是廣結善緣啊！　喝！,,,1,160,7,1,0,0,0,0,0,,Translated
13,大川,うわ！　手出した！　なんて事を！, , ,Ohkawa,"Oh, God! I can't believe you just did that!",,,오오카와,우와! 손을 대다니! 무슨 짓을!,,,大川,哇！　出手了！　真是無法無天！,,,1,25,14,1,0,0,0,0,0,,Translated
14,黒崎,ウィ～～ス♪, , ,Kurosaki,"What up, boys?",,,쿠로사키,안뇽~♪,,,黒崎,嗨～～各位♪,,,1,215,7,1,0,0,0,0,0,,Translated
