Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,,私の名前は小笠原奈那。,武蔵川女子中学校の１年生だ。, ,,My name is Nana Ogasawara. I'm a seventh-grader at,Musashigawa Girls' Middle School.,,,내 이름은 오가사와라 나나.,무사시가와 여자중학교 1학년이다.,,,我的名字是小笠原奈那。,武藏川女子中學校的一年級學生。,,0,225,9,1,0,0,0,0,0,,Translated
1,,どうしてこんな事になったのだろう。, , ,,"And I can't help but wonder, why did this happen",to us?,,,어쩌다 이렇게 된 걸까.,,,,為什麼會變成這樣呢。,,,0,226,9,1,0,0,0,0,0,,Translated
2,,放課後、演劇部のみんなと先輩達とで,残って遊んでいたら、, ,,I was just playing around with some drama club,friends and some high school kids after class...,,,"방과 후, 연극부 애들이랑 선배들과",남아서 놀고 있었는데,,,放學後，和戲劇社的大家以及學長姐們,留下來玩耍的時候，,,0,227,9,1,0,0,0,0,0,,Translated
3,,急に目の前が真っ白になって……,気が付いたら、こんな所に監禁されていた。, ,,"...when suddenly, everything went white, and we",found ourselves trapped in here!,,,갑자기 눈앞이 새하얘지고......,정신을 차리고 보니 이런 곳에 감금되어 있었다.,,,眼前突然一片空白……,回過神來，就被監禁在這種地方了。,,0,228,9,1,0,0,0,0,0,,Translated
4,,友達で同じクラスの山瀬千早ちゃんと、,違うクラスだけど私の幼馴染の天戸屋成ちゃん……, ,,"And by we, I mean me, my friend Chihaya Yamase from","homeroom, and an old friend from another class,","Nari Amatoya, whom I've known practically forever.",,친구에 같은 반이기도 한 야마세 치하야와,다른 반이지만 소꿉친구인 아마토야 나리......,,,朋友兼同班同學的山瀨千早，,還有不同班但是我的青梅竹馬的天戸屋成……,,0,229,9,1,0,0,0,0,0,,Translated
5,,目が覚めた時、二人は一緒にいたんだけれど、,違うクラスの部員、桐上ひかりちゃんと……, ,,Those two were the only ones in the room with me,when I came to. I'm not sure what happened to the,others.,,"눈을 떴을 때, 이 둘과는 함께였지만","다른 반 부원, 키리가미 히카리와......",,,醒來的時候，她們兩個和我在一起，,但不同班的社員，桐上ひかり……,,0,230,9,1,0,0,0,0,0,,Translated
6,,成瀬先輩と風音先輩の３人の姿は見えなかった。, , ,,"A rep from another class, Hikari Kirigami, and two",high-schoolers named Naruse and Kazane were with us,"before, but are nowhere to be found now.",,"나루세 선배, 카자네 선배 3명의 모습은 보이지 않았다.",,,,成瀬學姊和風音學姊三個人的身影都不見了。,,,0,231,9,1,0,0,0,0,0,,Translated
7,,私たちはあてもなく、この旧校舎を,歩き回っていたのだけれど……, ,,"So Chihaya, Nari and I have been wandering these",halls aimlessly for quite some time in search of,them.,,"우리는 정처 없이, 이 구 교사를",돌아다녔지만......,,,我們漫無目的地，在這棟舊校舍裡,走來走去……,,0,232,9,1,0,0,0,0,0,,Translated
8,,トイレしたくて一人でここに入った千早ちゃんが、,「怖い声を聞いた」って飛び出してきたので, ,,"Chihaya was the first to brave using the bathroom,",and even went in alone...but came running out not a,"moment later, claiming to have heard a scary voice.",,화장실에 가고 싶어 혼자 들어간 치하야가,「무서운 목소리를 들었어」라며 뛰쳐나와서,,,千早說想上廁所就一個人進去了，,結果她說「聽到了可怕的聲音」就衝了出來，,,0,233,9,1,0,0,0,0,0,,Translated
9,,その時落としたポーチを拾いに、,私が代わりに入って来てあげたのだ……, ,,"During her flight, it seems she dropped the pouch",she always carries with her...and I've agreed to,go in and find it in her place.,,그때 떨어뜨린 파우치를 주우러,내가 대신 들어왔다......,,,為了幫她撿那時掉落的化妝包，,我代替她進來了……,,0,234,9,1,0,0,0,0,0,,Translated
10,,　中には薬剤のビンなどが整然と並んでいます。, ,,,Vast quantities of medicine and tonics are lined up,on each of the shelves.,,,안에는 약품병이 가지런히 늘어서 있습니다.,,,,　裡面藥品瓶等整齊地排列著。,,,0,0,0,0,0,0,0,0,0,,Translated
11,,　棚の中に血のついた鋏（はさみ）が,　置かれています……, ,,"There's a pair of scissors on one of the shelves,",both its blades covered liberally in blood.,,,수납장 안에 피묻은 가위가,놓여 있습니다......,,,　櫃子裡放著沾血的剪刀……,,,0,0,0,0,0,0,0,0,0,,Translated
12,,　机の上には、日記帳と写真立てが,　置いてあります。, ,,There's an open journal and a framed picture on the,desk.,,,책상 위에는 일기장과 사진이,놓여 있습니다.,,,　桌上放著日記本和相框。,,,0,0,0,0,0,0,0,0,0,,Translated
13,,　日記帳は、机にピタリと張り付いており、,　手にする事が出来ません。,,,"The journal seems almost decorative, as if it were",a plastic model built into the desk. No part of it,can be moved even the slightest bit.,,일기장은 책상에 딱 붙어서,손에 들 수 없습니다.,,,　日記本緊緊黏在桌上，,無法拿起來。,,0,0,0,0,0,0,0,0,0,,Translated
14,,　机の上には、日記帳と写真立てが,　置いてあります。, ,,There's an open journal and a framed picture on the,desk.,,,책상 위에는 일기장과 사진이,놓여 있습니다.,,,　桌上放著日記本和相框。,,,0,0,0,0,0,0,0,0,0,,Translated
15,,　日記帳は、机にピタリと張り付いており、,　手にする事が出来ません。,,,"The journal seems almost decorative, as if it were",a plastic model built into the desk. No part of it,can be moved even the slightest bit.,,일기장은 책상에 딱 붙어서,손에 들 수 없습니다.,,,　日記本緊緊黏在桌上，,無法拿起來。,,0,0,0,0,0,0,0,0,0,,Translated
16,,　蛇口をひねっても、キィ、キィと,　乾いた金属音がするだけで水が出ません。, ,,"The handle turns with a loud squeak, but not a drop",of water comes out.,,,"수도꼭지를 돌려도 끼익, 끼익","메마른 금속음만이 들릴 뿐, 물은 나오지 않습니다.",,,　轉動水龍頭，也只發出,吱、吱的乾燥金屬聲，沒有水出來。,,0,0,0,0,0,0,0,0,0,,Translated
17,,　人体解剖図が壁に貼ってあります……, ,,,There's an anatomical diagram of the human body,tacked to the wall.,,,벽에 인체해부도가 붙어 있습니다......,,,,　牆上貼著人體解剖圖……,,,0,0,0,0,0,0,0,0,0,,Translated
