Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,鬼碑忌,七星くん、いるかい？, , ,Kibiki,Naho? Are you in there?,,,키비키,"나호 군, 있나?",,,鬼碑忌,七星，你在嗎？,,,1,168,6,1,0,0,0,0,0,,Translated
1,鬼碑忌,君の見つけてくれた、天神町に伝わる,都市伝説だが……, ,Kibiki,I wanted to talk to you about that Tenjin urban,legend you found.,,키비키,자네가 찾은 텐진에 전해 내려오는,도시 전설 말인데......,,鬼碑忌,關於你發現的那個，流傳於天神町的,都市傳說……,,1,0,0,1,0,0,0,0,0,,Translated
2,鬼碑忌,君に危険があってはと思うので、私達だけで……, , ,Kibiki,I'm thinking it may be a bit too dangerous to,"bring you along, so Taguchi and I should probably",go by ourselves...,키비키,자네가 위험할 것 같아 우리들만......,,,鬼碑忌,我覺得可能會讓你遭遇危險，所以我們倆……,,,1,170,6,1,0,0,0,0,0,,Translated
3,鬼碑忌,ん……いないのか。, , ,Kibiki,Huh. She's not here.,,,키비키,음...... 없나.,,,鬼碑忌,嗯……不在嗎。,,,1,171,6,1,0,0,0,0,0,,Translated
4,鬼碑忌,そういえば、今日はめずらしく、学校へ行くと,言っていたか……, ,Kibiki,"Come to think of it, she did say she'd be going",to school today...which is rather unlike her...,,키비키,"그러고 보니, 웬일로 오늘은 학교에 간다고",했었지......,,鬼碑忌,說起來，今天倒是難得地聽說她要,去學校……,,1,172,6,1,0,0,0,0,0,,Translated
5,,“センセイへ。,　私、センセイの為なら全然動けます。”, ,,'To my dear mentor.,"For you, I'll go to any lengths!",,,“선생님께.,"저, 선생님을 위해서라면 뭐든 할 거예요.”",,,「給老師。,　我，為了老師什麼都願意做。」,,0,207,9,1,0,0,0,0,0,,Translated
6,,“天神町で行なった調査の纏めを検討しますと、,　多分、例の方法を『逆打ち』する事で,　帰って来られると思います。” ,,"'Based on my findings from old Tenjin town records,",I feel more confident that it IS possible to return,from the school using the escape plan we discussed.,,“텐진에서 행해진 조사 내용을 검토해 본 바로는,아마 그 방법을 『역타』하면,돌아올 수 있을 거예요.”,,「檢視了在天神町進行的調查總結後，,　我想，或許用『逆打』那個方法，,　就能回來。」,0,208,9,1,0,0,0,0,0,,Translated
7,,“耐性を持たないセンセイと田久地さんだけでは、,　あの学校は危険だと思うので、”, ,,'But you and Taguchi don't have the ability to,resist spirits like I do. It would be far too,dangerous in there for just the two of you.,,“내성을 가지지 않은 선생님과 타구치 씨만으로는,그 학교는 위험할 테니”,,,「沒有抵抗力的老師和田久地先生兩個人去的話，,　我想那所學校會很危險，」,,0,209,9,1,0,0,0,0,0,,Translated
8,,“今日学校から帰ったら、やはり私も一緒に,　篠崎サチコのお呪いを行ないます。”, ,,"'So when I get home from school today, I'll",be joining you in performing the charm of,Sachiko Shinozaki.,,"“오늘 학교에서 돌아오면, 저도 함께",시노자키 사치코의 주술을 실행하겠습니다.”,,,「今天從學校回來後，我還是,　一起執行篠崎サチコ的咒語。」,,0,210,9,1,0,0,0,0,0,,Translated
9,,“本当に成功するかどうか、低めの確率ですけれど……,　上手く潜入出来れば、”, ,,"'I don't hold out much hope for our success,",but if it works...,,,“성공 확률은 정말 낮지만......,잠입에 성공하기만 한다면”,,,「雖然成功的機率很低……,　但只要成功潛入的話，」,,0,211,9,1,0,0,0,0,0,,Translated
10,,“きっといいネタＧＥＴ出来ますよね。”, , ,,'...you're seriously going to get the scoop,to end all scoops.,,,“좋은 소재를 얻을 수 있을 거예요.”,,,,「一定能拿到好題材吧。」,,,0,212,9,1,0,0,0,0,0,,Translated
11,,“センセイのお仕事、第三回も編集部が,　評価してくれたら……”, ,,'If I can help make lightning strike a third time,for you with your editorial department...,,,"“선생님의 일, 제3회도 편집부가",좋게 평가해주면......”,,,「老師的工作，如果第三回也能獲得,　編輯部的認可的話……」,,0,213,9,1,0,0,0,0,0,,Translated
12,,“美味しいもの、食べさせてね。,　　　　　　　　　　　　　　　　　　なほより”, ,,'...then you totally owe me dinner.,                                        -Naho',,,"“맛있는 걸, 사주셔야 해요.",나호가”,,,「要請我吃好吃的喔。,　　　　　　　　　　　　　　　　　　　　　　　　　　　　——七星」,,0,214,9,1,0,0,0,0,0,,Translated
13,鬼碑忌,……ふふ。, , ,Kibiki,Haha.,,,키비키,...... 후후.,,,鬼碑忌,……呵呵。,,,1,173,6,1,0,0,0,0,0,,Translated
14,鬼碑忌,……ありがとう七星君……。やはり君を、,危険な目に遭わせるわけには行かないよ。, ,Kibiki,"Thank you, Naho. But I really can't allow you to",put yourself in danger like that.,,키비키,...... 고맙네 나호 군...... 역시 자넬,위험에 빠뜨릴 수는 없어.,,鬼碑忌,……謝謝你七星……。但我還是不能,讓妳去冒險。,,1,174,6,1,0,0,0,0,0,,Translated
15,鬼碑忌,『逆打ち』の方法はわかっている。,僕が後輩と二人で行ってみるから、,君は待っていてくれ。,Kibiki,I know the escape plan. I'm going to go with trusty,"old Taguchi, and you're going to wait for us here.",,키비키,“역타법”은 알고 있네.,후배와 둘이서 다녀올 테니,자넨 기다리고 있게나.,鬼碑忌,我知道『逆打』的方法。,我帶學弟去一趟，,妳就在這裡等著吧。,1,175,6,1,0,0,0,0,0,,Translated
16,鬼碑忌,書き置きでもしておくか……, , ,Kibiki,I guess I should write her a note to that effect...,,,키비키,메모를 남겨 둘까......,,,鬼碑忌,還是留個字條給她吧……,,,1,176,6,1,0,0,0,0,0,,Translated
