Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,直美,委員長、おつかれ～, , ,Naomi,"Nice job today, Madame Rep!",,,나오미,"반장, 수고했어~",,,直美,班長，辛苦啦～,,,1,224,13,1,0,0,0,0,0,,Translated
1,あゆみ,あ、おつー, , ,Ayumi,Thanks! You too.,,,아유미,"아, 수고~",,,あゆみ,啊，辛苦～,,,1,255,4,1,0,0,0,0,0,,Translated
2,世以子,ね、ね、あゆみちゃん。大成功だね、おしるこ屋♪, , ,Seiko,"So what's the verdict, Ayumi? Are we knockin' 'em","dead with our delicious red bean soup, or what?!",,세이코,"저기, 저기, 아유미. 대성공이었지, 단팥죽 가게♪",,,世以子,吶、吶，あゆみ醬。大成功呢，紅豆湯店♪,,,1,96,20,1,0,0,0,0,0,,Translated
3,あゆみ,うん、びっくり。お客さん、まだ途切れないもんね。, , ,Ayumi,"Yeah, I'm kind of shocked how many customers we're",getting. There's just no end!,,아유미,"응, 깜짝 놀랐어. 손님이 끊이지를 않던데.",,,あゆみ,嗯，嚇了一跳。客人一直沒斷過呢。,,,1,0,5,1,0,0,0,0,0,,Translated
4,世以子,あゆみちゃんのポスターが良かったんだよね、,きっと。, ,Seiko,They're all being lured in by that kick-ass poster,"you drew, if you ask me.",,세이코,아유미의 포스터가 좋았던 거야,분명.,,世以子,一定是因為あゆみ醬的海報畫得好，,,,1,97,20,1,0,0,0,0,0,,Translated
5,あゆみ,あは、そっかなー。　嬉しい♪　ありがと。, , ,Ayumi,Ahaha. You really think so? Thanks! I'm glad to,hear my work's being appreciated!,,아유미,"아하, 그런가~ 기쁘다♪ 고마워.",,,あゆみ,啊哈，是這樣嗎～。好開心♪　謝謝。,,,1,1,5,1,0,0,0,0,0,,Translated
6,直美,うん、すごい可愛い。お店終わったらあたし,一枚貰っていい？, ,Naomi,"Well, it's super-duper cute, so why wouldn't it be?","In fact, I'd kind of like to take a copy home with","me after the festivities, if that'd be okay...",나오미,"응, 정말 귀여워. 가게 끝나면",한 장 받아가도 될까?,,直美,嗯，真的好可愛。店結束之後,可以給我一張嗎？,,1,225,13,1,0,0,0,0,0,,Translated
7,あゆみ,もちろん、い……　　　　　　　　　　　　, , ,Ayumi,"Oh, of course!",,,아유미,"물론, 조......",,,あゆみ,當然，好……　　　　　　　　　　　　,,,1,2,5,1,1,0,0,0,0,,Translated
8,良樹,おい、５組で思いきったお化け屋敷やってるぞ。, , ,Yoshiki,"Hey, 2-5's got a haunted house set up, and they did",an amazing job with it!,,요시키,"야, 5반에서 진짜 잘 만든 유령의 집을 한다는데.",,,良樹,喂，五班做了一個很厲害的鬼屋喔。,,,1,54,26,1,0,0,0,0,0,,Translated
9,哲志,みんな、見に行かないか？, , ,Satoshi,We're heading over there now. Would you girls,like to join us?,,사토시,"다들, 보러 갈래?",,,哲志,大家，要去看嗎？,,,1,24,19,1,0,0,0,0,0,,Translated
10,直美,まじ？　行こっか。, , ,Naomi,Right now? Sure...why not!,,,나오미,진짜? 갈까.,,,直美,真的嗎？　去吧。,,,1,226,13,1,0,0,0,0,0,,Translated
11,世以子,ギャー！　いく、いく！, , ,Seiko,"Aaaahaa, you'd better believe I'm comin'!",,,세이코,"갸~!  갈래, 갈래!",,,世以子,呀～！　去、去！,,,1,98,20,1,0,0,0,0,0,,Translated
12,哲志,篠崎は？, , ,Satoshi,"How about you, Shinozaki?",,,사토시,시노자키는?,,,哲志,篠崎呢？,,,1,25,19,1,0,0,0,0,0,,Translated
13,あゆみ,！　……ん～行きたいけど、私責任者だし……, , ,Ayumi,"Huh? Hmmm... I'd...LIKE to go, of course...but",I've got to tend shop here.,,아유미,"!  ...... 음~ 가고 싶지만, 난 책임자니까......",,,あゆみ,！　……嗯～想去是想去，但我是負責人……,,,1,3,5,1,0,0,0,0,0,,Translated
14,あゆみ,お店離れらんないよ。みんなで行ってきて。, , ,Ayumi,I can't just leave my post. You guys go without me.,,,아유미,여기 있어야 해. 너희들끼리 갔다 와.,,,あゆみ,不能離開店裡啊。你們大家去吧。,,,1,4,5,1,0,0,0,0,0,,Translated
15,哲志,そっか……残念だな。, , ,Satoshi,"Oh, yeah... I didn't think of that. Sorry.",,,사토시,그래...... 아쉽네.,,,哲志,是嗎……真可惜。,,,1,26,19,1,0,0,0,0,0,,Translated
16,良樹,んじゃ俺も、残るかな。,篠崎、話し相手になってやるよ。, ,Yoshiki,"Then, uh, maybe I should stay behind too. I'd feel",bad leaving you here with nobody to talk to...,,요시키,그럼 나도 남을까.,시노자키 얘기 상대나 해주게.,,良樹,那我，也留下來吧。,篠崎，我來陪妳說話。,,1,55,26,1,0,0,0,0,0,,Translated
17,あゆみ,いいよ、ダイジョーブ。みんな、気をつけてね。, , ,Ayumi,"Oh, don't you worry about little ol' me! You guys",go have fun. And be careful!,,아유미,"됐어, 괜찮아. 다들, 조심해.",,,あゆみ,不用了，沒關係。大家，小心點喔。,,,1,5,5,1,0,0,0,0,0,,Translated
18,直美,……じゃぁ、なんか帰りに飲み物でも買って来るね。, , ,Naomi,Well...we'll at least pick you up something to,"drink on the way back, then...",,나오미,...... 그럼 올 때 뭔가 마실 것 좀 사올게.,,,直美,……那，回來的時候買個飲料之類的給你。,,,1,227,13,1,0,0,0,0,0,,Translated
