Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,,チャプター１のオープニングを見ますか？, ,,,View the Chapter 1 opening?,,,,챕터1 오프닝을 보겠습니까?,,,,要觀看第一章的開場嗎？,,,0,0,0,0,0,0,0,0,0,,Translated
1,,はい,いいえ,,,Yes,No,,,네,아니오,,,是,否,,0,255,255,255,255,255,255,255,255,,Translated
2,,ちょうどこんな……　雨の降る、放課後だったそうよ……, , ,,"It was a rainy evening after school, just like this",one...,,,마침 이렇게... 비가 오는 방과 후였어......,,,,就在這樣一個……下著雨的放學後呢……,,,0,2,0,1,0,0,0,0,0,,Translated
3,,その女性の先生が、階段の踊り場から……,転落して亡くなったのは。, ,,"Running down the stairs, the kindly teacher lost her","footing. She tumbled, and she fell...and she died.",,,그 여선생이 층계참에서......,굴러 떨어져 죽은 건.,,,那位女老師，就是從樓梯的轉角平台……,摔落身亡的。,,0,3,0,1,0,0,0,0,0,,Translated
4,,――みんな知ってるよね？　私達の学校、,【如月学園】が建てられる前……, ,,"...You've all heard the stories, no? Before","Kisaragi Academy was built here, there was",another school on this property.,,다들 알지? 우리가 다니는,【키사라기 학원】이 지어지기 전......,,,――大家都知道的吧？在我們這所學校，,【如月學園】被建造之前……,,0,4,0,1,0,0,0,0,0,,Translated
5,,この場所にもともと建っていた、【天神小学校】。, , ,,"Heavenly Host Elementary School, it was called.",,,,이곳에 존재했던 【텐진초등학교】.,,,,這個地方原本建著的，是【天神小學校】。,,,0,5,0,1,0,0,0,0,0,,Translated
6,,不幸な事故だったわ……。,当時の校長先生は、学校のことを, ,,Such a horrible thing to happen...,The principal was completely devastated.,,,불행한 사고였어......,당시 교장은 학교를,,,真是不幸的事故呢……,當時的校長，對學校的事情,,0,6,0,1,0,0,0,0,0,,Translated
7,,まるで我が子のように、大事に思っていた,みたいなんだけど……, ,,He cared for the school almost as if it were,"his own child, you see.",,,자기 자식처럼 소중히,여겼지만......,,,簡直就像對待自己的孩子一樣，非常珍惜的樣子……,,,0,7,0,1,0,0,0,0,0,,Translated
8,,その事件をきっかけに、廃校が決定しちゃったの。, , ,,But one thing led to another after the incident...,"and ultimately, a decision was reached. The school",was to be shut down.,,이 사건을 계기로 폐교하게 되었지.,,,,然而因為那起事件，學校就決定要廢校了。,,,0,8,0,1,0,0,0,0,0,,Translated
9,,それ以来、心を病んでしまった校長先生は……,学校が閉鎖された当日に, ,,The principal was so stricken with grief over losing,his precious child that on the day of its closure...,,,이후 마음에 병이 난 교장은......,학교가 폐쇄된 당일에,,,從那之後，心裡生病了的校長……,就在學校關閉的那一天,,0,9,0,1,0,0,0,0,0,,Translated
10,,校舎の屋上から身を投げて、自殺しちゃったんだって。, , ,,...he climbed up to its roof and threw himself to,his death. Or so the story goes...,,,교사 옥상에서 몸을 던져 자살했대.,,,,從校舍的屋頂跳下，自殺了。,,,0,10,0,1,0,0,0,0,0,,Translated
