Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,,チャプター３のオープニングを見ますか？, , ,,View the Chapter 3 opening?,,,,챕터3 오프닝을 보겠습니까?,,,,要觀看第三章的開場嗎？, ,,0,0,0,1,0,0,0,0,0,,Translated
1,,はい,いいえ,,,Yes,No,,,네,아니오,,,是,否,,0,255,255,255,255,255,255,255,255,,Translated
2,,ハァッ…ハァッ…！,　ケホッ、ケホッ！, ,,*pant* *pant* *pant*,*cough* *cough*,,,하악... 하악...!,"  콜록, 콜록!",,,哈啊…哈啊…！,　咳咳、咳咳！,,0,44,5,1,0,0,0,0,0,,Translated
3,美月,もういや！　何なのよこの学校……！, , ,Mitsuki,I can't take much more of this!,What's wrong with this school?!,,미츠키,더는 싫어!  뭐야 이 학교......!,,,美月,受不了了！這學校到底是怎麼回事……！, ,,1,71,8,1,0,0,0,0,0,,Translated
4,美月,何であんなのがいるの！,……あんな金槌で殴られたら、死んじゃうわ！, ,Mitsuki,"Who the hell was that, and why is he here?!",If we got hit with a hammer like that...we'd be,goners!,미츠키,...... 왜 저런 게 있는 거야!,...... 그런 망치에 맞았다간 죽는다고!,,美月,為什麼會有那種東西在！,……被那種鐵鎚砸到的話，會死的！,,1,72,8,1,0,0,0,0,0,,Translated
5,美月,黒崎は……何処いったのよ！,ううぅぅ……, ,Mitsuki,Where's Kurosaki...?! *sob* *sob*,,,미츠키,쿠로사키는...... 어딜 간 거야!,으으으으......,,美月,黒崎……跑哪去了！,嗚嗚嗚……,,1,73,8,1,0,0,0,0,0,,Translated
6,袋井,……心配すんな、さっきまで一緒だったんだろ？, , ,Fukuroi,Don't worry about him. He was just here.,,,후쿠로이,"...... 걱정 마, 좀 전까지 같이 있었잖아?",,,袋井,……別擔心，剛才不是還在一起嗎？, ,,1,45,5,1,0,0,0,0,0,,Translated
7,袋井,すぐその辺で会えるって……, , ,Fukuroi,"We'll run into him any minute now, I'm sure of it.",,,후쿠로이,곧 이 근처에서 보게 될 거야......,,,袋井,馬上就能在附近見到他了……, ,,1,46,5,1,0,0,0,0,0,,Translated
8,美月,ううぅぅ……　やだ…やだぁ……,あんな死に方、したくない……, ,Mitsuki,*whine* I hate this... I hate this!,I don't want to die like that!,,미츠키,우우우우......  싫어... 싫어......,그런 식으로는 죽고 싶지 않아......,,美月,嗚嗚嗚……　不要…不要啊……,我不想那樣死掉……,,1,74,8,1,0,0,0,0,0,,Translated
9,美月,アンタも見たでしょう！？　恵美の死体……！,頭が…頭が、バックリ割れて……, ,Mitsuki,"You saw it too, right? Emi's body?",Her head... Her head was split wide open!,,미츠키,너도 봤지!?  에미의 사체......!,"머리가... 머리가, 팍 깨져서......",,美月,你也看到了吧！？　惠美的屍體……！,頭…頭被劈開了……,,1,75,8,1,0,0,0,0,0,,Translated
