Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,森繁・良樹,っ！？　　　　　　　　　　　　, , ,Morishige & Yoshiki,?!,,,모리시게·요시키,윽!?,,,森繁・良樹,！？　　　　　　　　　　　　,,,1,238,8,1,1,0,0,0,0,,Translated
1,森繁,ふぅ……, , ,Morishige,*sigh*,,,모리시게,후우......,,,森繁,呼……,,,1,236,8,1,0,0,0,0,0,,Translated
2,森繁,今日は声がいまいち張れないな……,演劇部には顔出さずにおくか。, ,Morishige,Can't seem to muster up much of a voice today.,I'm just not projecting. I should probably skip,theater club and go straight home...,모리시게,오늘따라 목소리가 잘 안 나오는걸......,연극부에는 나가지 말까.,,森繁,今天聲音總是不太出來啊……,戲劇部還是別去了吧。,,1,237,8,1,0,0,0,0,0,,Translated
3,良樹,わ、わりぃ！　大丈夫か、森繁！, , ,Yoshiki,"Ack, sorry, sorry! You okay, Morishige?",,,요시키,"아, 미안! 괜찮냐, 모리시게!",,,良樹,抱、抱歉！　沒事吧，森繁！,,,1,58,26,1,0,0,0,0,0,,Translated
4,森繁,……っ　これが、大丈夫に見えるのか？, , ,Morishige,Do I look okay to you?!,,,모리시게,윽...... 넌 이게 괜찮은 걸로 보이냐?,,,森繁,……這樣看起來像沒事嗎？,,,1,239,8,1,0,0,0,0,0,,Translated
5,良樹,い、いや……悪かった。, , ,Yoshiki,U-Uhhh... I'm really sorry.,,,요시키,"아, 아니...... 미안하다.",,,良樹,不、不是……對不起。,,,1,59,26,1,0,0,0,0,0,,Translated
6,森繁,まったく、お前は少し落ち着いた方がいいと思うぞ。, , ,Morishige,"Honestly, you're always in such a rush. You need",to slow yourself down every now and again.,,모리시게,"하여간, 넌 조금 진정하는 게 좋겠다.",,,森繁,真是的，我覺得你應該稍微冷靜一點。,,,1,240,8,1,0,0,0,0,0,,Translated
7,良樹,……, , ,Yoshiki,...,,,요시키,......,,,良樹,……,,,1,60,26,1,0,0,0,0,0,,Translated
8,森繁,もう……メガネがどこかにいっちゃったじゃないか。, , ,Morishige,Urgh... I have no idea where my glasses went...,,,모리시게,진짜...... 안경은 어디로 간 거야.,,,森繁,唉……眼鏡不知道掉到哪裡去了。,,,1,241,8,1,0,0,0,0,0,,Translated
9,良樹,メ、メガネ？　あぁ、ちょっと待て。, , ,Yoshiki,"Y-Your glasses? Here, I'll help you find them.",,,요시키,"아, 안경? 아아, 잠깐 기다려.",,,良樹,眼、眼鏡？　啊，等等。,,,1,61,26,1,0,0,0,0,0,,Translated
