Index,JP_Name,JP_Page1,JP_Page2,JP_Page3,EN2_Name,EN2_Page1,EN2_Page2,EN2_Page3,KO_Name,KO_Page1,KO_Page2,KO_Page3,TC_Name,TC_Page1,TC_Page2,TC_Page3,NameFlag,VoiceNo_low,VoiceNo_high,Timing,VoiceAutoPage,TextSpeed,Button,AutoPage,ExtVoice,Translator_Notes,Status
0,冴之木七星（さえのき　なほ）,桐章学園高等部２年生。,鬼碑忌コウの弟子であり、訳あって,鬼碑忌の家に居候している。,Naho Saenoki,An eleventh-grader at Paulownia Academy High School.,"Protege to Kou Kibiki, and has even taken up resi-",dence in his house (rent-free) for private reasons.,사에노키 나호,토쇼학원 고등부 2학년.,키비키 코우의 제자. 어떤 연유로,키비키의 집에 얹혀살고 있다.,冴之木七星,桐章學園高中部二年級。,鬼碑忌コウ的弟子，因為某些原因,寄住在鬼碑忌家中。,1,0,0,1,0,0,0,0,0,,Translated
1,冴之木七星（さえのき　なほ）,「幸せのサチコさん」のおまじないを,ブログで公開し、それを見たあゆみたちが,巻き込まれる事になる。,Naho Saenoki,Discovered the 'Sachiko Ever After' charm and shared,"it on her blog, prompting the events that got Ayumi",and her friends mixed up with Heavenly Host.,사에노키 나호,「행복을 부르는 사치코씨」 주술을,"블로그에 공개하고, 그것을 본 아유미 일행이",휘말리게 된다.,冴之木七星,在部落格上公開了「幸福的サチコ小姐」的咒語，,看到這個的あゆみ等人,因此被捲入事件中。,1,0,0,1,0,0,0,0,0,,Translated
2,,,,,,,,,,,,,,,,,-1,0,0,1,0,0,0,0,0,,Translated
3,鬼碑忌コウ（きびき　コウ）,ルポライター兼、怪奇小説家。, , ,Kou Kibiki,A struggling documentarian and novelist looking,for his big break. Writes primarily for an occult,publication of questionable relevance.,키비키 코우,르포 라이터 겸 괴기 소설가.,,,鬼碑忌コウ,報導作家兼怪奇小說家。,,,1,0,0,1,0,0,0,0,0,,Translated
4,鬼碑忌コウ（きびき　コウ）,天神小学校での児童連続誘拐殺害事件の,真相を追い、自ら天神小学校へと向かう。, ,Kou Kibiki,Has been chasing any leads he can find on the serial,kidnapping and murder cases that once plagued,Heavenly Host Elementary.,키비키 코우,텐진초등학교 아동 연속 유괴 살해 사건의,"진상을 쫓아, 직접 텐진초등학교로 향한다.",,鬼碑忌コウ,追查天神小學校發生的兒童連續綁架殺害事件的,真相，親自前往天神小學校。,,1,0,0,1,0,0,0,0,0,,Translated
5,鬼碑忌コウ（きびき　コウ）,最後は、黒化した七星に取り殺されてしまった。, , ,Kou Kibiki,Eventually spirited himself away to Heavenly Host,"by choice, where he was killed by Naho after she'd",succumbed to the darkening.,키비키 코우,끝내 흑화한 나호에게 죽임을 당하고 만다.,,,鬼碑忌コウ,最後被黑化的七星殺害了。,,,1,0,0,1,0,0,0,0,0,,Translated
6,大川智寛（おおかわ　ともひろ）,白檀高等学校２年生。,刻命裕也たちクラスメイトと共に,天神小学校へ飛ばされる。,Tomohiro Ohkawa,An eleventh-grader at Byakudan Senior High School.,Went to Heavenly Host Elementary with Yuuya Kizami,and his other classmates.,오오카와 토모히로,뱌쿠단 고등학교 2학년.,키자미 유야 등 친구들과 함께,텐진초등학교에 가게 된다.,大川智寛,白檀高等學校二年級生。,與刻命裕也等同學一起,被傳送到天神小學校。,1,0,0,1,0,0,0,0,0,,Translated
7,大川智寛（おおかわ　ともひろ）,親友である片山良介の死体を蹴り飛ばした,刻命に対し「人殺し」と言い放ち、,彼が変貌して行くきっかけを作る事になる。,Tomohiro Ohkawa,When his friend Ryosuke Katayama's body was kicked,"down the stairs by Kizami, he called Kizami a mur-","derer, setting in motion a series of dark events.",오오카와 토모히로,친구인 카타야마 료스케의 사체를 걷어찬,키자미에게 「살인자」라고 말하는 바람에,키자미가 변모해 가는 계기를 만들게 된다.,大川智寛,對於踢飛好友片山良介屍體的刻命，,說出了「殺人犯」這句話，,成為了刻命開始變質的契機。,1,0,0,1,0,0,0,0,0,,Translated
8,,を作る事になる。,,,,を作る事になる。,,,,を作る事になる。,,,,的契機。,,,-1,0,0,1,0,0,0,0,0,,Translated
9,,棚の中には、ホルマリン漬けにされた,蛙の標本が入っています……, ,,A lone frog soaking in formalin sits upon the top,"shelf, eagerly awaiting dissection.",,,수납장 안에는 포르말린에 담긴,개구리 표본이 들어 있습니다......,,,櫃子裡放著浸泡在福馬林中的,青蛙標本……,,0,0,0,1,0,0,0,0,0,,Translated
